date;CE_NCC_0 Arrêt;CE_NCC_1 Marche ;CE_chauffage_-1 Arrêt Sécurité;CE_chauffage_-2 Arrêt Manuel OFF;CE_chauffage_1 Marche AUTO;CE_electrolyseur_-5 Arrêt pas de flux;CE_electrolyseur_0 Arrêt;CE_electrolyseur_1 Marche 100%;CE_filtration_-3 Arrêt pause filtration;CE_filtration_0 Arrêt AUTO;CE_filtration_1 Marche AUTO;CE_filtration_3 Marche mode baignade;CE_filtration_5 Marche hivernage;CE_hivernage_0 Arret;CE_hivernage_2 Actif activé;CE_pompe_chauff_-1 Arrêt Sécurité;CE_pompe_chauff_0 Arrêt AUTO;CE_pompe_chauff_1 Marche AUTO;CE_trait_PH_-5 Arrêt pas de flux chambre analyse;CE_trait_PH_0 Arrêt AUTO;CE_trait_PH_2 En cours pompe active;CE_volet_0 Position ouvert;CE_volet_1 position fermé;airTemp;waterTemp;baignade
2022-07-14 11:52:00;1;0;0;1;0;0;0;0;0;1;0;0;1;1;1;0;1;0;0;0;0;1;1;35.886684;29.4;1
2022-07-14 11:54:00;1;0;0;1;0;0;0;0;0;1;0;0;1;1;1;0;1;0;0;0;0;1;1;35.886684;29.4;1
2022-07-14 11:56:00;1;0;0;1;0;0;0;0;0;1;0;0;1;1;1;0;1;0;0;0;0;1;1;35.886684;29.4;1
2022-07-14 11:58:00;1;0;0;1;0;0;0;0;0;1;0;0;1;1;1;0;1;0;0;0;0;1;1;35.886684;29.4;1
2022-07-14 12:00:00;1;0;0;1;0;0;0;1;0;0;1;0;1;1;1;0;1;0;0;1;0;1;1;35.979996;29.353357;1
2022-07-14 12:02:00;1;0;0;1;0;0;0;1;0;0;1;0;1;1;1;0;1;0;0;1;0;1;1;35.979996;29.353357;1
2022-07-14 12:04:00;1;0;0;0;0;0;1;0;0;0;0;1;1;1;1;0;1;0;0;1;0;1;1;35.979996;29.353357;1
2022-07-14 12:06:00;1;0;0;0;0;0;1;0;0;0;0;1;1;1;1;0;1;0;0;1;0;1;1;35.979996;29.353357;1
2022-07-14 12:08:00;1;0;0;0;0;0;1;0;0;0;0;1;1;1;1;0;1;0;0;1;0;1;1;35.979996;29.353357;1
2022-07-14 12:10:00;1;0;0;0;0;0;0;1;0;0;0;1;1;1;1;0;1;0;0;1;0;1;1;35.979996;29.353357;1
2022-07-14 12:12:00;1;0;0;0;0;0;0;1;0;0;0;1;1;1;1;0;1;0;0;1;0;1;1;35.979996;29.353357;1
2022-07-14 12:14:00;1;0;0;0;0;0;0;1;0;0;0;1;1;1;1;0;1;0;0;1;0;1;1;35.826759;29.019939;1
2022-07-14 12:16:00;1;0;0;0;0;0;0;1;0;0;0;1;1;1;1;0;1;0;0;1;0;1;1;35.826759;29.019939;1
2022-07-14 12:18:00;1;0;0;0;0;0;0;1;0;0;0;1;1;1;1;0;1;0;0;1;0;1;1;35.826759;29.019939;1
2022-07-14 12:20:00;1;0;0;0;0;0;0;1;0;0;0;1;1;1;1;0;1;0;0;1;0;1;1;35.826759;29.019939;1
2022-07-14 12:22:00;1;0;0;0;0;0;0;1;0;0;0;1;1;1;1;0;1;0;0;1;0;1;1;35.826759;29.019939;1
